time, esti_x, esti_y, esti_z, esti_q_x, esti_q_y, esti_q_z, esti_q_w,             time, gt_x, gt_y, gt_z, gt_q_x, gt_q_y, gt_q_z, gt_q_w
4.249998093,2.110829095877468,0.5743056962346932,0.14899567620229584,-0.002851611563333156,0.03136374860892381,0.0070656684676719626,0.9994789942333923,4.249998093,-0.21444,0.618786,0.379053,-0.007241271226893441,-0.008938361514432587,-6.472931096713058e-05,0.9999338305805116
4.249998093,2.110829095877468,0.5743056962346932,0.14899567620229584,-0.002851611563333156,0.03136374860892381,0.0070656684676719626,0.9994789942333923,4.249998093,-0.21444,0.618786,0.379053,-0.007241271226893441,-0.008938361514432587,-6.472931096713058e-05,0.9999338305805116
4.249998093,2.110829095877468,0.5743056962346932,0.14899567620229584,-0.002851611563333156,0.03136374860892381,0.0070656684676719626,0.9994789942333923,4.249998093,-0.21444,0.618786,0.379053,-0.007241271226893441,-0.008938361514432587,-6.472931096713058e-05,0.9999338305805116
4.249998093,2.110829095877468,0.5743056962346932,0.14899567620229584,-0.002851611563333156,0.03136374860892381,0.0070656684676719626,0.9994789942333923,4.249998093,-0.21444,0.618786,0.379053,-0.007241271226893441,-0.008938361514432587,-6.472931096713058e-05,0.9999338305805116
4.249998093,2.110829095877468,0.5743056962346932,0.14899567620229584,-0.002851611563333156,0.03136374860892381,0.0070656684676719626,0.9994789942333923,4.249998093,-0.21444,0.618786,0.379053,-0.007241271226893441,-0.008938361514432587,-6.472931096713058e-05,0.9999338305805116
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
